,Origin,Dest,Count
0,alternative,alternative,6
1,alternative,blues,3
2,alternative,country,1
3,alternative,folk,1
4,alternative,jazz,3
5,alternative,pop,2
6,alternative,rock,3
7,blues,alternative,3
8,blues,blues,169
9,blues,country,27
10,blues,dance,35
11,blues,folk,28
12,blues,indie,7
13,blues,jazz,44
14,blues,latin,2
15,blues,metal,1
16,blues,pop,83
17,blues,rap,11
18,blues,reggae,5
19,blues,rock,75
20,country,alternative,1
21,country,blues,27
22,country,country,118
23,country,dance,5
24,country,disco,2
25,country,folk,44
26,country,indie,5
27,country,jazz,3
28,country,latin,3
29,country,pop,52
30,country,rap,11
31,country,rock,58
32,dance,blues,35
33,dance,country,5
34,dance,dance,95
35,dance,electronic,2
36,dance,folk,3
37,dance,indie,3
38,dance,jazz,14
39,dance,latin,7
40,dance,metal,9
41,dance,pop,73
42,dance,rap,9
43,dance,reggae,7
44,dance,rock,61
45,disco,country,2
46,disco,disco,4
47,disco,folk,1
48,disco,jazz,2
49,disco,latin,2
50,disco,pop,2
51,disco,rock,2
52,electronic,dance,2
53,electronic,electronic,4
54,electronic,jazz,2
55,electronic,latin,2
56,electronic,pop,2
57,electronic,rock,1
58,folk,alternative,1
59,folk,blues,28
60,folk,country,44
61,folk,dance,3
62,folk,disco,1
63,folk,folk,66
64,folk,indie,7
65,folk,jazz,1
66,folk,latin,4
67,folk,pop,29
68,folk,rap,1
69,folk,rock,37
70,indie,blues,7
71,indie,country,5
72,indie,dance,3
73,indie,folk,7
74,indie,indie,10
75,indie,pop,10
76,indie,rock,8
77,jazz,alternative,3
78,jazz,blues,44
79,jazz,country,3
80,jazz,dance,14
81,jazz,disco,2
82,jazz,electronic,2
83,jazz,folk,1
84,jazz,jazz,156
85,jazz,latin,18
86,jazz,metal,1
87,jazz,pop,48
88,jazz,rap,3
89,jazz,reggae,1
90,jazz,rock,17
91,latin,blues,2
92,latin,country,3
93,latin,dance,7
94,latin,disco,2
95,latin,electronic,2
96,latin,folk,4
97,latin,jazz,18
98,latin,latin,30
99,latin,pop,18
100,latin,rock,7
101,metal,blues,1
102,metal,dance,9
103,metal,jazz,1
104,metal,metal,19
105,metal,pop,19
106,metal,rock,19
107,pop,alternative,2
108,pop,blues,83
109,pop,country,52
110,pop,dance,73
111,pop,disco,2
112,pop,electronic,2
113,pop,folk,29
114,pop,indie,10
115,pop,jazz,48
116,pop,latin,18
117,pop,metal,19
118,pop,pop,298
119,pop,rap,22
120,pop,reggae,4
121,pop,rock,219
122,rap,blues,11
123,rap,country,11
124,rap,dance,9
125,rap,folk,1
126,rap,jazz,3
127,rap,pop,22
128,rap,rap,26
129,rap,rock,21
130,reggae,blues,5
131,reggae,dance,7
132,reggae,jazz,1
133,reggae,pop,4
134,reggae,reggae,8
135,reggae,rock,8
136,rock,alternative,3
137,rock,blues,75
138,rock,country,58
139,rock,dance,61
140,rock,disco,2
141,rock,electronic,1
142,rock,folk,37
143,rock,indie,8
144,rock,jazz,17
145,rock,latin,7
146,rock,metal,19
147,rock,pop,219
148,rock,rap,21
149,rock,reggae,8
150,rock,rock,270
