,Origin,Dest,Count
0,alternative,alternative,394
1,alternative,blues,22
2,alternative,country,9
3,alternative,dance,172
4,alternative,disco,50
5,alternative,electronic,156
6,alternative,folk,36
7,alternative,indie,126
8,alternative,jazz,31
9,alternative,latin,4
10,alternative,metal,60
11,alternative,pop,299
12,alternative,rap,21
13,alternative,reggae,27
14,alternative,rock,334
15,blues,alternative,22
16,blues,blues,132
17,blues,country,9
18,blues,dance,37
19,blues,disco,18
20,blues,electronic,11
21,blues,folk,25
22,blues,indie,13
23,blues,jazz,53
24,blues,latin,6
25,blues,metal,11
26,blues,pop,64
27,blues,rap,2
28,blues,reggae,5
29,blues,rock,98
30,country,alternative,9
31,country,blues,9
32,country,country,50
33,country,dance,9
34,country,electronic,1
35,country,folk,13
36,country,indie,4
37,country,jazz,6
38,country,latin,1
39,country,metal,5
40,country,pop,17
41,country,rap,2
42,country,reggae,1
43,country,rock,35
44,dance,alternative,172
45,dance,blues,37
46,dance,country,9
47,dance,dance,423
48,dance,disco,118
49,dance,electronic,188
50,dance,folk,12
51,dance,indie,68
52,dance,jazz,77
53,dance,latin,12
54,dance,metal,57
55,dance,pop,334
56,dance,rap,34
57,dance,reggae,31
58,dance,rock,307
59,disco,alternative,50
60,disco,blues,18
61,disco,dance,118
62,disco,disco,192
63,disco,electronic,91
64,disco,folk,3
65,disco,indie,15
66,disco,jazz,51
67,disco,metal,21
68,disco,pop,143
69,disco,rap,13
70,disco,reggae,5
71,disco,rock,128
72,electronic,alternative,156
73,electronic,blues,11
74,electronic,country,1
75,electronic,dance,188
76,electronic,disco,91
77,electronic,electronic,357
78,electronic,folk,4
79,electronic,indie,43
80,electronic,jazz,43
81,electronic,latin,7
82,electronic,metal,40
83,electronic,pop,286
84,electronic,rap,20
85,electronic,reggae,11
86,electronic,rock,248
87,folk,alternative,36
88,folk,blues,25
89,folk,country,13
90,folk,dance,12
91,folk,disco,3
92,folk,electronic,4
93,folk,folk,108
94,folk,indie,26
95,folk,jazz,16
96,folk,latin,1
97,folk,metal,7
98,folk,pop,55
99,folk,rap,4
100,folk,reggae,2
101,folk,rock,73
102,indie,alternative,126
103,indie,blues,13
104,indie,country,4
105,indie,dance,68
106,indie,disco,15
107,indie,electronic,43
108,indie,folk,26
109,indie,indie,174
110,indie,jazz,7
111,indie,latin,2
112,indie,metal,16
113,indie,pop,147
114,indie,rap,13
115,indie,reggae,15
116,indie,rock,150
117,jazz,alternative,31
118,jazz,blues,53
119,jazz,country,6
120,jazz,dance,77
121,jazz,disco,51
122,jazz,electronic,43
123,jazz,folk,16
124,jazz,indie,7
125,jazz,jazz,304
126,jazz,latin,15
127,jazz,metal,14
128,jazz,pop,106
129,jazz,rap,13
130,jazz,reggae,8
131,jazz,rock,120
132,latin,alternative,4
133,latin,blues,6
134,latin,country,1
135,latin,dance,12
136,latin,electronic,7
137,latin,folk,1
138,latin,indie,2
139,latin,jazz,15
140,latin,latin,38
141,latin,metal,4
142,latin,pop,16
143,latin,rap,2
144,latin,rock,22
145,metal,alternative,60
146,metal,blues,11
147,metal,country,5
148,metal,dance,57
149,metal,disco,21
150,metal,electronic,40
151,metal,folk,7
152,metal,indie,16
153,metal,jazz,14
154,metal,latin,4
155,metal,metal,322
156,metal,pop,103
157,metal,rap,16
158,metal,reggae,9
159,metal,rock,291
160,pop,alternative,299
161,pop,blues,64
162,pop,country,17
163,pop,dance,334
164,pop,disco,143
165,pop,electronic,286
166,pop,folk,55
167,pop,indie,147
168,pop,jazz,106
169,pop,latin,16
170,pop,metal,103
171,pop,pop,982
172,pop,rap,46
173,pop,reggae,41
174,pop,rock,682
175,rap,alternative,21
176,rap,blues,2
177,rap,country,2
178,rap,dance,34
179,rap,disco,13
180,rap,electronic,20
181,rap,folk,4
182,rap,indie,13
183,rap,jazz,13
184,rap,latin,2
185,rap,metal,16
186,rap,pop,46
187,rap,rap,62
188,rap,reggae,9
189,rap,rock,40
190,reggae,alternative,27
191,reggae,blues,5
192,reggae,country,1
193,reggae,dance,31
194,reggae,disco,5
195,reggae,electronic,11
196,reggae,folk,2
197,reggae,indie,15
198,reggae,jazz,8
199,reggae,metal,9
200,reggae,pop,41
201,reggae,rap,9
202,reggae,reggae,106
203,reggae,rock,56
204,rock,alternative,334
205,rock,blues,98
206,rock,country,35
207,rock,dance,307
208,rock,disco,128
209,rock,electronic,248
210,rock,folk,73
211,rock,indie,150
212,rock,jazz,120
213,rock,latin,22
214,rock,metal,291
215,rock,pop,682
216,rock,rap,40
217,rock,reggae,56
218,rock,rock,1371
