,Origin,Dest,Count
0,alternative,alternative,88
1,alternative,blues,51
2,alternative,country,14
3,alternative,dance,6
4,alternative,disco,4
5,alternative,electronic,5
6,alternative,folk,59
7,alternative,indie,32
8,alternative,jazz,19
9,alternative,latin,2
10,alternative,metal,11
11,alternative,pop,51
12,alternative,rap,2
13,alternative,rock,84
14,blues,alternative,51
15,blues,blues,619
16,blues,country,92
17,blues,dance,83
18,blues,disco,42
19,blues,electronic,15
20,blues,folk,163
21,blues,indie,21
22,blues,jazz,147
23,blues,latin,7
24,blues,metal,60
25,blues,pop,251
26,blues,rap,17
27,blues,reggae,8
28,blues,rock,451
29,country,alternative,14
30,country,blues,92
31,country,country,196
32,country,dance,25
33,country,disco,5
34,country,electronic,8
35,country,folk,114
36,country,indie,12
37,country,jazz,9
38,country,latin,2
39,country,metal,11
40,country,pop,94
41,country,rap,10
42,country,rock,130
43,dance,alternative,6
44,dance,blues,83
45,dance,country,25
46,dance,dance,146
47,dance,disco,29
48,dance,electronic,7
49,dance,folk,44
50,dance,indie,8
51,dance,jazz,45
52,dance,latin,12
53,dance,metal,13
54,dance,pop,97
55,dance,rap,5
56,dance,reggae,14
57,dance,rock,120
58,disco,alternative,4
59,disco,blues,42
60,disco,country,5
61,disco,dance,29
62,disco,disco,68
63,disco,electronic,4
64,disco,folk,4
65,disco,jazz,17
66,disco,latin,1
67,disco,metal,6
68,disco,pop,43
69,disco,rap,2
70,disco,reggae,4
71,disco,rock,48
72,electronic,alternative,5
73,electronic,blues,15
74,electronic,country,8
75,electronic,dance,7
76,electronic,disco,4
77,electronic,electronic,42
78,electronic,folk,11
79,electronic,indie,9
80,electronic,jazz,10
81,electronic,latin,3
82,electronic,metal,9
83,electronic,pop,27
84,electronic,rap,5
85,electronic,reggae,3
86,electronic,rock,32
87,folk,alternative,59
88,folk,blues,163
89,folk,country,114
90,folk,dance,44
91,folk,disco,4
92,folk,electronic,11
93,folk,folk,337
94,folk,indie,40
95,folk,jazz,52
96,folk,latin,10
97,folk,metal,23
98,folk,pop,167
99,folk,rap,12
100,folk,reggae,3
101,folk,rock,274
102,indie,alternative,32
103,indie,blues,21
104,indie,country,12
105,indie,dance,8
106,indie,electronic,9
107,indie,folk,40
108,indie,indie,60
109,indie,jazz,8
110,indie,latin,5
111,indie,metal,5
112,indie,pop,41
113,indie,rap,8
114,indie,reggae,3
115,indie,rock,57
116,jazz,alternative,19
117,jazz,blues,147
118,jazz,country,9
119,jazz,dance,45
120,jazz,disco,17
121,jazz,electronic,10
122,jazz,folk,52
123,jazz,indie,8
124,jazz,jazz,306
125,jazz,latin,12
126,jazz,metal,21
127,jazz,pop,121
128,jazz,rap,12
129,jazz,reggae,7
130,jazz,rock,154
131,latin,alternative,2
132,latin,blues,7
133,latin,country,2
134,latin,dance,12
135,latin,disco,1
136,latin,electronic,3
137,latin,folk,10
138,latin,indie,5
139,latin,jazz,12
140,latin,latin,19
141,latin,metal,3
142,latin,pop,8
143,latin,rap,3
144,latin,reggae,3
145,latin,rock,10
146,metal,alternative,11
147,metal,blues,60
148,metal,country,11
149,metal,dance,13
150,metal,disco,6
151,metal,electronic,9
152,metal,folk,23
153,metal,indie,5
154,metal,jazz,21
155,metal,latin,3
156,metal,metal,93
157,metal,pop,46
158,metal,rap,7
159,metal,reggae,3
160,metal,rock,88
161,pop,alternative,51
162,pop,blues,251
163,pop,country,94
164,pop,dance,97
165,pop,disco,43
166,pop,electronic,27
167,pop,folk,167
168,pop,indie,41
169,pop,jazz,121
170,pop,latin,8
171,pop,metal,46
172,pop,pop,536
173,pop,rap,21
174,pop,reggae,12
175,pop,rock,442
176,rap,alternative,2
177,rap,blues,17
178,rap,country,10
179,rap,dance,5
180,rap,disco,2
181,rap,electronic,5
182,rap,folk,12
183,rap,indie,8
184,rap,jazz,12
185,rap,latin,3
186,rap,metal,7
187,rap,pop,21
188,rap,rap,33
189,rap,reggae,4
190,rap,rock,28
191,reggae,blues,8
192,reggae,dance,14
193,reggae,disco,4
194,reggae,electronic,3
195,reggae,folk,3
196,reggae,indie,3
197,reggae,jazz,7
198,reggae,latin,3
199,reggae,metal,3
200,reggae,pop,12
201,reggae,rap,4
202,reggae,reggae,50
203,reggae,rock,38
204,rock,alternative,84
205,rock,blues,451
206,rock,country,130
207,rock,dance,120
208,rock,disco,48
209,rock,electronic,32
210,rock,folk,274
211,rock,indie,57
212,rock,jazz,154
213,rock,latin,10
214,rock,metal,88
215,rock,pop,442
216,rock,rap,28
217,rock,reggae,38
218,rock,rock,994
